title	tomato_meter	audience_score	date	directors
Kis Uykusu	87	84	2014	['Nuri Bilge Ceylan']
Ordinary People	89	88	1980	['Robert Redford']
Tammy	24	36	2014	['Ben Falcone']
National Security	11	45	2003	['Dennis Dugan']
15 Minutes	32	37	2001	['John Herzfeld']
Durante la tormenta	75	74	2018	['Oriol Paulo']
The East	76	64	2013	['Zal Batmanglij']
Bulletproof Monk	23	38	2003	['Paul Hunter']
Teen Wolf	42	52	1985	['Rod Daniel']
The House with a Clock in Its Walls	65	45	2018	['Eli Roth']
A Goofy Movie	59	70	1995	['Kevin Lima']
Without Remorse	44	39	2021	['Stefano Sollima']
Nutty Professor II: The Klumps	26	33	2000	['Peter Segal']
How Do You Know	31	24	2010	['James L. Brooks']
Jab We Met	None	90	2007	['Imtiaz Ali']
French Kiss	48	74	1995	['Lawrence Kasdan']
Orange County	46	61	2002	['Jake Kasdan']
Hard Target	56	49	1993	['John Woo']
Blow Out	85	82	1981	['Brian De Palma']
The Last Exorcism	72	35	2010	['Daniel Stamm']
Friday the 13th: The Final Chapter	19	51	1984	['Joseph Zito']
Kuch Kuch Hota Hai	None	92	1998	['Karan Johar']
Scouts Guide to the Zombie Apocalypse	44	48	2015	['Christopher Landon']
Lions for Lambs	27	47	2007	['Robert Redford']
White Noise	7	31	2005	['Geoffrey Sax']
Bullet to the Head	45	39	2012	['Walter Hill']
While We're Young	84	51	2014	['Noah Baumbach']
Halloween 4: The Return of Michael Myers	29	52	1988	['Dwight H. Little']
Mimic	64	37	1997	['Guillermo del Toro']
In the Name of the King: A Dungeon Siege Tale	4	23	2007	['Uwe Boll']
The Wind that Shakes the Barley	90	87	2006	['Ken Loach']
Tin Cup	72	65	1996	['Ron Shelton']
Rachel Getting Married	84	62	2008	['Jonathan Demme']
Disclosure	59	41	1994	['Barry Levinson']
RoboCop 3	6	15	1993	['Fred Dekker']
Kinsey	90	75	2004	['Bill Condon']
Child's Play 2	40	47	1990	['John Lafia']
Halloween III: Season of the Witch	39	27	1982	['Tommy Lee Wallace']
The Beaver	62	55	2011	['Jodie Foster']
Can't Hardly Wait	41	63	1998	['Harry Elfont', 'Deborah Kaplan']
Baby's Day Out	20	52	1994	['Patrick Read Johnson']
Airheads	23	50	1994	['Michael Lehmann']
Monster Hunter	45	70	2020	['Paul W.S. Anderson']
The Big Wedding	7	40	2013	['Justin Zackham']
Ich seh, Ich seh	85	65	2014	['Severin Fiala', 'Veronika Franz']
American Splendor	94	86	2003	['Shari Springer Berman', 'Robert Pulcini']
Soul Surfer	45	75	2011	['Sean McNamara']
Rabbit Hole	87	72	2010	['John Cameron Mitchell']
The Belko Experiment	54	40	2016	['Greg McLean']
The Laundromat	40	40	2019	['Steven Soderbergh']
The Runaways	69	55	2010	['Floria Sigismondi']
Texas Chainsaw 3D	19	40	2013	['John Luessenhop']
Spies Like Us	32	56	1985	['John Landis']
Keanu	78	55	2016	['Peter Atencio']
Kelly's Heroes	78	88	1970	['Brian G. Hutton']
Marnie	83	73	1964	['Alfred Hitchcock']
Forbidden Planet	96	85	1956	['Fred M. Wilcox']
History of the World: Part I	59	81	1981	['Mel Brooks']
How It Ends	17	17	2018	['David M. Rosenthal']
Kill the Irishman	62	67	2011	['Jonathan Hensleigh']
28 Days	33	50	2000	['Betty Thomas']
Da 5 Bloods	92	54	2020	['Spike Lee']
London Boulevard	38	30	2010	['William Monahan']
Freddy Got Fingered	11	56	2001	['Tom Green']
Smokey and the Bandit	77	85	1977	['Hal Needham']
Vampires Suck	4	29	2010	['Jason Friedberg', 'Aaron Seltzer']
The Witches	93	70	1990	['Nicolas Roeg']
Sydney White	35	70	2007	['Joe Nussbaum']
The Great Mouse Detective	80	79	1986	['Directors', 'Ron Clements', 'Burny Mattinson', 'David Michener']
Reality Bites	64	74	1994	['Ben Stiller']
Parenthood	91	76	1989	['Ron Howard']
Gigli	6	13	2003	['Martin Brest']
Black Dynamite	83	85	2009	['Scott Sanders']
Mary Queen of Scots	62	41	2018	['Josie Rourke']
Ma Rainey's Black Bottom	98	73	2020	['George C. Wolfe']
Deux jours, une nuit	97	76	2014	['Jean-Pierre Dardenne', 'Luc Dardenne']
Flight of the Navigator	84	75	1986	['Randal Kleiser']
Inspector Gadget	21	18	1999	['David Kellogg']
Hector and the Search for Happiness	38	61	2014	['Peter Chelsom']
Vegas Vacation	13	51	1997	['Stephen Kessler']
The Zero Theorem	48	43	2013	['Terry Gilliam']
He Got Game	81	83	1998	['Spike Lee']
Set It Up	92	67	2018	['Claire Scanlon']
Downton Abbey	84	94	2019	['Michael Engler']
The Rover	66	51	2014	['David Michôd']
Those Who Wish Me Dead	61	85	2021	['Taylor Sheridan']
Employee of the Month	20	53	2006	['Greg Coolidge']
Herbie Fully Loaded	40	38	2005	['Angela Robinson']
Passenger 57	24	38	1992	['Kevin Hooks']
A Bad Moms Christmas	32	44	2017	['Jon Lucas', 'Scott Moore']
Toni Erdmann	93	73	2016	['Maren Ade']
Bride of Frankenstein	98	87	1935	['James Whale']
Superman IV: The Quest for Peace	11	16	1987	['Sidney J. Furie']
The Ridiculous 6	0	34	2015	['Frank Coraci']
No Man's Land	93	93	2001	['Danis Tanovic']
Anthropoid	66	71	2016	['Sean Ellis']
After the Sunset	18	52	2004	['Brett Ratner']
Diary of a Wimpy Kid	54	49	2010	['Thor Freudenthal']
Under Siege 2: Dark Territory	34	38	1995	['Geoff Murphy']
The Odd Life of Timothy Green	36	67	2012	['Peter Hedges']
If Beale Street Could Talk	95	71	2018	['Barry Jenkins']
Mudbound	97	84	2017	['Dee Rees']
Think Like a Man	54	79	2012	['Tim Story']
Far from Heaven	87	80	2002	['Todd Haynes']
Bad Taste	71	75	1987	['Peter Jackson']
Rules of Engagement	37	55	2000	['William Friedkin']
Hellbound: Hellraiser II	50	58	1988	['Tony Randel']
The Hitcher	62	74	1986	['Robert Harmon']
Christmas with the Kranks	5	38	2004	['Joe Roth']
Look Who's Talking Too	13	32	1990	['Amy Heckerling']
Seeking Justice	28	39	2011	['Roger Donaldson']
Get Rich or Die Tryin'	16	70	2005	['Jim Sheridan']
Without a Paddle	14	68	2004	['Steven Brill']
Sophie's Choice	78	85	1982	['Alan J. Pakula']
Grumpy Old Men	63	74	1993	['Donald Petrie']
Enemy Mine	63	68	1985	['Wolfgang Petersen']
When We First Met	43	57	2018	['Ari Sandel']
Cosmopolis	66	31	2012	['David Cronenberg']
Venom: Let There Be Carnage	61	84	2021	['Andy Serkis']
Creepshow	74	68	1982	['George A. Romero']
Hobo with a Shotgun	66	57	2011	['Jason Eisener']
Hoosiers	91	88	1986	['David Anspaugh']
Howard the Duck	14	38	1986	['Willard Huyck']
CHIPS	18	45	2017	['Dax Shepard']
Bachelorette	57	34	2012	['Leslye Headland']
Very Bad Things	41	58	1998	['Peter Berg']
When a Stranger Calls	9	44	2006	['Simon West']
Lage Raho Munna Bhai	None	90	2006	['Rajkumar Hirani']
Paper Moon	93	94	1973	['Peter Bogdanovich']
Candy	47	77	2006	['Neil Armfield']
Starman	85	69	1984	['John Carpenter']
Chhichhore	58	91	2019	['Nitesh Tiwari']
Che: Part One	68	75	2008	['Steven Soderbergh']
Ginger Snaps	90	78	2000	['John Fawcett']
To the Bone	70	64	2017	['Marti Noxon']
Striptease	13	24	1996	['Andrew Bergman']
Dhoom:3	72	48	2013	['Vijay Krishna Acharya']
Free Fire	70	52	2016	['Ben Wheatley']
You Will Meet a Tall Dark Stranger	46	34	2010	['Woody Allen']
The Girl in the Spider's Web	39	36	2018	['Fede Alvarez']
Honey	21	71	2003	['Bille Woodruff']
The Company Men	67	55	2010	['John Wells']
Million Dollar Arm	64	68	2014	['Craig Gillespie']
Waitress	89	74	2007	['Adrienne Shelly']
Starred Up	99	84	2013	['David Mackenzie']
Beneath the Planet of the Apes	39	38	1970	['Ted Post']
Ladyhawke	68	74	1985	['Richard Donner']
Two for the Money	22	48	2005	['D.J. Caruso']
Romy and Michele's High School Reunion	73	65	1997	['David Mirkin']
Alone in the Dark	1	11	2005	['Uwe Boll']
Freaks	95	88	1932	['Tod Browning']
Jaws: The Revenge	0	15	1987	['Joseph Sargent']
Dead Ringers	83	82	1988	['David Cronenberg']
Freaky	83	80	2020	['Christopher Landon']
Unsane	80	58	2018	['Steven Soderbergh']
The River Wild	56	51	1994	['Curtis Hanson']
3000 Miles to Graceland	14	46	2001	['Demian Lichtenstein']
Imperium	85	64	2016	['Daniel Ragussis']
Fever Pitch	65	60	2005	['Bobby Farrelly', 'Peter Farrelly']
Deconstructing Harry	73	82	1997	['Woody Allen']
Proof	62	59	2005	['John Madden']
The Peanuts Movie	87	76	2015	['Steve Martino']
Stuber	42	79	2019	['Michael Dowse']
Homeward Bound: The Incredible Journey	87	71	1993	['Duwayne Dunham']
Cradle 2 the Grave	26	52	2003	['Andrzej Bartkowiak']
Miracle on 34th Street	96	87	1947	['George Seaton']
Slow West	92	74	2015	['John Maclean']
Pieces of a Woman	75	85	2020	['Kornél Mundruczó']
Swimming Pool	83	67	2003	['François Ozon']
Rising Sun	33	40	1993	['Philip Kaufman']
Holy Motors	92	71	2012	['Leos Carax']
DOA: Dead or Alive	33	36	2006	['Corey Yuen']
Varsity Blues	43	76	1999	['Brian Robbins']
Police Academy 3: Back in Training	40	39	1986	['Jerry Paris']
The Dead Pool	55	44	1988	['Buddy Van Horn']
Congo	22	29	1995	['Frank Marshall']
Freddy's Dead: The Final Nightmare	22	32	1991	['Rachel Talalay']
Hubie Halloween	52	43	2020	['Steven Brill']
Race 3	7	17	2018	["Remo D'Souza"]
Fan	79	77	2016	['Maneesh Sharma']
Mr. Magorium's Wonder Emporium	39	55	2007	['Zach Helm']
Dr. Dolittle 2	42	26	2001	['Steve Carr']
Frenzy	90	77	1972	['Alfred Hitchcock']
Baby Mama	63	55	2008	['Michael McCullers']
Before I Wake	66	47	2016	['Mike Flanagan']
Pathfinder	10	36	2007	['Marcus Nispel']
Life as a House	47	88	2001	['Irwin Winkler']
Mandariinid	88	89	2013	['Zaza Urushadze']
The Big Year	42	41	2011	['David Frankel']
Planes	25	49	2013	['Klay Hall']
MacGruber	48	35	2010	['Jorma Taccone']
Buffy the Vampire Slayer	36	43	1992	['Fran Rubel Kuzui']
The Final Girls	74	70	2015	['Todd Strauss-Schulson']
Laggies	65	50	2014	['Lynn Shelton']
Short Cuts	95	88	1993	['Robert Altman']
East of Eden	85	90	1955	['Elia Kazan']
Blair Witch	38	31	2016	['Adam Wingard']
Sudden Impact	56	54	1983	['Clint Eastwood']
Chitty Chitty Bang Bang	67	71	1968	['Ken Hughes']
Shutter	58	77	2004	['Banjong Pisanthanakun', 'Parkpoom Wongpoom']
Cujo	62	45	1983	['Lewis Teague']
Big Stan	11	44	2007	['Rob Schneider']
Kate	44	51	2021	['Cedric Nicolas-Troyan']
Honest Thief	40	87	2020	['Mark Williams']
Happy Feet Two	45	60	2011	['George Miller', 'Gary Eck', 'David Peers']
Monte Carlo	40	49	2011	['Thomas Bezucha']
Honey, I Blew Up the Kid	40	24	1992	['Randal Kleiser']
The Enforcer	68	59	1976	['James Fargo']
Er ist wieder da	None	80	2015	['David Wnendt']
Pawn Sacrifice	71	65	2014	['Edward Zwick']
Belle de jour	95	86	1967	['Luis Buñuel']
Blood Work	52	40	2002	['Clint Eastwood']
Roxanne	88	63	1987	['Fred Schepisi']
Behind the Candelabra	94	71	2013	['Steven Soderbergh']
The Lazarus Effect	16	23	2015	['David Gelb']
20th Century Women	88	74	2016	['Mike Mills']
Suburbicon	28	25	2017	['George Clooney']
Guess Who's Coming to Dinner	70	85	1967	['Stanley Kramer']
Manhattan Murder Mystery	94	84	1993	['Woody Allen']
Rock Star	53	59	2001	['Stephen Herek']
Raees	67	60	2017	['Rahul Dholakia']
In America	89	91	2002	['Jim Sheridan']
Alexander and the Terrible, Horrible, No Good, Very Bad Day	61	58	2014	['Miguel Arteta']
Byzantium	65	51	2012	['Neil Jordan']
Edtv	64	30	1999	['Ron Howard']
Sleeping with Other People	63	57	2015	['Leslye Headland']
Teeth	80	45	2007	['Mitchell Lichtenstein']
The Green Inferno	38	29	2013	['Eli Roth']
Annie	57	69	1982	['John Huston']
A Hologram for the King	70	54	2016	['Tom Tykwer']
Spies in Disguise	77	92	2019	['Nick Bruno', 'Troy Quane']
Seed of Chucky	34	39	2004	['Don Mancini']
Casualties of War	83	75	1989	['Brian De Palma']
The Reaping	8	49	2007	['Stephen Hopkins']
Last Knights	16	46	2015	['Kazuaki Kiriya']
The Sessions	91	80	2012	['Ben Lewin']
Flyboys	33	67	2006	['Tony Bill']
American Animals	88	81	2018	['Bart Layton']
Sleeper	100	81	1973	['Woody Allen']
Fiddler on the Roof	83	92	1971	['Norman Jewison']
Heartbreak Ridge	68	74	1986	['Clint Eastwood']
The Ward	33	26	2010	['John Carpenter']
Bird on a Wire	30	40	1990	['John Badham']
Dolores Claiborne	84	81	1995	['Taylor Hackford']
Balto	54	70	1995	['Simon Wells']
Taxi 3	None	51	2003	['Gérard Krawczyk']
Guess Who	42	49	2005	['Kevin Rodney Sullivan']
The Skeleton Twins	86	69	2014	['Craig Johnson']
Absolutely Anything	18	31	2015	['Terry Jones']
A Thousand Words	0	47	2012	['Brian Robbins']
Rockstar	83	66	2011	['Imtiaz Ali']
Balls of Fury	21	33	2007	['Robert Ben Garant']
Fred Claus	21	45	2007	['David Dobkin']
Stake Land	74	62	2010	['Jim Mickle']
Color Out of Space	86	82	2019	['Richard Stanley']
One for the Money	2	42	2012	['Julie Anne Robinson']
Police Academy 4: Citizens on Patrol	0	38	1987	['Jim Drake']
Halloween Kills	39	67	2021	['David Gordon Green']
Official Secrets	82	89	2019	['Gavin Hood']
Whale Rider	91	88	2002	['Niki Caro']
Idle Hands	15	58	1999	['Rodman Flender']
Amarcord	87	90	1973	['Federico Fellini']
Vicky Donor	None	77	2012	['Shoojit Sircar']
Dirty Pretty Things	94	82	2002	['Stephen Frears']
Friends with Kids	67	49	2011	['Jennifer Westfeldt']
God's Not Dead	12	75	2014	['Harold Cronk']
Silverado	76	80	1985	['Lawrence Kasdan']
High Crimes	31	50	2002	['Carl Franklin']
Brick Mansions	26	47	2014	['Camille Delamarre']
Dragged Across Concrete	76	70	2018	['S. Craig Zahler']
North Country	69	76	2005	['Niki Caro']
Bastille Day	48	41	2016	['James Watkins']
Piranha 3DD	13	22	2012	['John Gulager']
The Hand That Rocks the Cradle	63	61	1992	['Curtis Hanson']
The Zookeeper's Wife	64	76	2017	['Niki Caro']
On the Road	45	34	2012	['Walter Salles']
Transamerica	77	83	2005	['Duncan Tucker']
Nick of Time	32	47	1995	['John Badham']
Adventures in Babysitting	69	70	1987	['Chris Columbus']
The Transporter Refueled	16	30	2015	['Camille Delamarre']
American Honey	79	63	2016	['Andrea Arnold']
Aquamarine	51	61	2006	['Elizabeth Allen Rosenbaum']
Striking Distance	17	35	1993	['Rowdy Herrington']
Halloween: Resurrection	12	25	2002	['Rick Rosenthal']
The Professor and the Madman	41	80	2019	['Farhad Safinia']
Shadow of the Vampire	82	74	2000	['E. Elias Merhige']
Stop! Or My Mom Will Shoot	11	21	1992	['Roger Spottiswoode']
La cara oculta	80	72	2011	['Andrés Baiz']
Yeh Jawaani Hai Deewani	57	64	2013	['Ayan Mukherjee']
The Stanford Prison Experiment	84	75	2015	['Kyle Patrick Alvarez']
Talaash	81	64	2012	['Reema Kagti', 'Priyamvada Narayanan']
All About Steve	6	30	2009	['Phil Traill']
Anon	37	34	2018	['Andrew Niccol']
The Guernsey Literary and Potato Peel Pie Society	81	80	2018	['Mike Newell']
Hannah Montana: The Movie	43	67	2009	['Peter Chelsom']
Stone	50	21	2010	['John Curran']
Zelig	100	88	1983	['Woody Allen']
Mientras duermes	91	78	2011	['Jaume Balagueró']
Paranormal Activity: The Marked Ones	39	34	2014	['Christopher Landon']
Bad Lieutenant	77	73	1992	['Abel Ferrara']
Ironclad	42	41	2011	['Jonathan English']
Beverly Hills Ninja	14	53	1997	['Dennis Dugan']
Om Shanti Om	76	77	2007	['Farah Khan']
The Broken Circle Breakdown	83	85	2012	['Felix van Groeningen']
Dracula: Dead and Loving It	11	49	1995	['Mel Brooks']
Down with Love	60	62	2003	['Peyton Reed']
Meet Dave	20	35	2008	['Brian Robbins']
Bienvenue chez les Ch'tis	67	78	2008	['Dany Boon']
Tigerland	77	71	2000	['Joel Schumacher']
It's a Boy Girl Thing	67	61	2006	['Nick Hurran']
Saving Silverman	19	51	2001	['Dennis Dugan']
St. Elmo's Fire	43	68	1985	['Joel Schumacher']
Presumed Innocent	87	67	1990	['Alan J. Pakula']
It's a Mad Mad Mad Mad World	70	83	1963	['Stanley Kramer']
The Last Starfighter	76	69	1984	['Nick Castle']
Suffragette	73	68	2015	['Sarah Gavron']
Would You Rather	59	36	2012	['David Guy Levy']
The Secret Garden	88	80	1993	['Agnieszka Holland']
Black Sheep	72	53	2006	['Jonathan King']
The Smurfs 2	14	56	2013	['Raja Gosnell']
Money Train	22	29	1995	['Joseph Ruben']
The Fifth Estate	35	36	2013	['Bill Condon']
The Lodge	74	51	2019	['Severin Fiala', 'Veronika Franz']
Maps to the Stars	61	44	2014	['David Cronenberg']
Prince of Darkness	58	60	1987	['John Carpenter']
Sea of Love	76	66	1989	['Harold Becker']
Prime	50	52	2005	['Ben Younger']
Double Impact	35	42	1991	['Sheldon Lettich']
In the Bedroom	93	81	2001	['Todd Field']
The Messengers	12	44	2007	['Danny Pang', 'Oxide Chun Pang']
Narc	84	79	2002	['Joe Carnahan']
All Dogs Go to Heaven	44	63	1989	['Don Bluth', 'Gary Goldman', 'Dan Kuenster']
L'auberge espagnole	76	86	2002	['Cédric Klapisch']
Shaun the Sheep Movie	99	81	2015	['Mark Burton', 'Richard Starzak']
Death to Smoochy	42	66	2002	['Danny DeVito']
Searching for Bobby Fischer	100	86	1993	['Steven Zaillian']
The Mauritanian	75	84	2021	['Kevin Macdonald']
Radio	35	79	2003	['Michael Tollin']
Blood Red Sky	80	57	2021	['Peter Thorwarth']
Charlotte's Web	78	62	2006	['Gary Winick']
Ingrid Goes West	86	70	2017	['Matt Spicer']
Two Lovers	82	59	2008	['James Gray']
Masters of the Universe	17	41	1987	['Gary Goddard']
The Perfection	71	56	2018	['Richard Shepard']
The Loved Ones	98	73	2009	['Sean Byrne']
Black Knight	14	34	2001	['Gil Junger']
Lovelace	53	36	2013	['Rob Epstein', 'Jeffrey Friedman']
Reindeer Games	26	27	2000	['John Frankenheimer']
Spread	21	28	2009	['David Mackenzie']
Mighty Aphrodite	78	73	1995	['Woody Allen']
D2: The Mighty Ducks	20	59	1994	['Sam Weisman']
Chasing Liberty	18	60	2004	['Andy Cadiff']
The Railway Man	66	68	2013	['Jonathan Teplitzky']
Outside the Wire	36	55	2021	['Mikael Håfström']
Shane	97	81	1953	['George Stevens']
Kill List	78	58	2011	['Ben Wheatley']
Encino Man	17	56	1992	['Les Mayfield']
Dead Calm	83	63	1989	['Phillip Noyce']
Halloween 5: The Revenge of Michael Myers	12	37	1989	['Dominique Othenin-Girard']
Wasabi	43	69	2001	['Gérard Krawczyk']
Romper Stomper	79	73	1992	['Geoffrey Wright']
The Endless	92	67	2017	['Justin Benson', 'Aaron Moorhead']
The To Do List	56	46	2013	['Maggie Carey']
Ravenous	49	78	1999	['Antonia Bird']
Dressed to Kill	81	74	1980	['Brian De Palma']
Child's Play 3	23	33	1991	['Jack Bender']
Basic Instinct 2	6	26	2006	['Michael Caton-Jones']
Hillbilly Elegy	25	83	2020	['Ron Howard']
Dumb and Dumberer: When Harry Met Lloyd	10	23	2003	['Troy Miller']
Under sandet	92	88	2015	['Martin Zandvliet']
Regression	15	21	2015	['Alejandro Amenábar']
Next Friday	21	76	2000	['Steve Carr']
Key Largo	97	88	1948	['John Huston']
Detroit Rock City	49	82	1999	['Adam Rifkin']
The One I Love	82	76	2014	['Charlie McDowell']
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask	88	69	1972	['Woody Allen']
Mean Machine	34	72	2001	['Barry Skolnick']
License to Wed	7	53	2007	['Ken Kwapis']
Pusher	83	85	1996	['Nicolas Winding Refn']
Midnight in the Garden of Good and Evil	50	65	1997	['Clint Eastwood']
The Roommate	3	27	2011	['Christian E. Christiansen']
Southland Tales	40	41	2006	['Richard Kelly']
Turistas	19	28	2006	['John Stockwell']
A Rainy Day in New York	47	55	2019	['Woody Allen']
Under the Silver Lake	59	55	2018	['David Robert Mitchell']
The Ant Bully	62	42	2006	['John A. Davis']
Severance	66	61	2006	['Christopher Smith']
The Believer	83	82	2001	['Henry Bean']
Dragonfly	7	62	2002	['Tom Shadyac']
Cleaner	17	40	2007	['Renny Harlin']
Bullets Over Broadway	97	83	1994	['Woody Allen']
Dear Zindagi	69	73	2016	['Gauri Shinde']
Operation Finale	61	64	2018	['Chris Weitz']
The Choice	11	61	2016	['Ross Katz']
Hearts in Atlantis	49	64	2001	['Scott Hicks']
The Salvation	72	62	2014	['Kristian Levring']
Because I Said So	4	65	2007	['Michael Lehmann']
Tumbbad	85	96	2018	['Rahi Anil Barve', 'Anand Gandhi', 'Adesh Prasad']
Personal Shopper	81	52	2016	['Olivier Assayas']
Thunder Force	21	22	2021	['Ben Falcone']
JCVD	84	74	2008	['Mabrouk El Mechri']
Hot Tub Time Machine 2	14	26	2015	['Steve Pink']
Small Time Crooks	66	57	2000	['Woody Allen']
Apt Pupil	53	56	1998	['Bryan Singer']
Love and Death	100	90	1975	['Woody Allen']
Man of Tai Chi	71	50	2013	['Keanu Reeves']
Summer of 84	72	67	2018	['François Simard', 'Anouk Whissell', 'Yoann-Karl Whissell']
Wish I Was Here	47	59	2014	['Zach Braff']
Tesis	83	89	1996	['Alejandro Amenábar']
Middle Men	40	56	2009	['George Gallo']
Message in a Bottle	32	66	1999	['Luis Mandoki']
Spy Hard	8	31	1996	['Rick Friedberg']
We Are Your Friends	39	42	2015	['Max Joseph']
Book of Shadows: Blair Witch 2	14	18	2000	['Joe Berlinger']
Ayla: The Daughter of War	None	88	2017	['Can Ulkay', 'Halenur Uzunoglu']
Liberal Arts	71	60	2012	['Josh Radnor']
Mr. Holland's Opus	75	84	1995	['Stephen Herek']
Sierra Burgess Is a Loser	61	30	2018	['Ian Samuels']
Code 8	80	62	2019	['Jeff Chan']
The Courier	86	95	2020	['Dominic Cooke']
Muriel's Wedding	79	84	1994	['P.J. Hogan']
Hang 'Em High	92	73	1968	['Ted Post']
ARQ	43	46	2016	['Tony Elliott']
Summer of Sam	51	60	1999	['Spike Lee']
Uptown Girls	13	60	2003	['Boaz Yakin']
John Dies at the End	60	54	2012	['Don Coscarelli']
Chopper	74	89	2000	['Andrew Dominik']
Wild Target	33	56	2010	['Jonathan Lynn']
McFarland, USA	80	88	2015	['Niki Caro']
The Trouble with Harry	87	73	1955	['Alfred Hitchcock']
Tolkien	51	71	2019	['Dome Karukoski']
Bitter Moon	65	81	1992	['Roman Polanski']
Smallfoot	76	62	2018	['Karey Kirkpatrick', 'Jason Reisig']
Giant	93	87	1956	['George Stevens']
I Give It a Year	51	38	2013	['Dan Mazer']
Fantasia 2000	81	75	1999	['Directors', 'James Algar', 'Gaëtan Brizzi', 'Paul Brizzi']
102 Dalmatians	31	32	2000	['Kevin Lima']
Black Sea	80	59	2014	['Kevin Macdonald']
Greenberg	76	42	2010	['Noah Baumbach']
Twilight Zone: The Movie	58	55	1983	['Directors', 'Joe Dante', 'John Landis', 'George Miller']
The Siege of Jadotville	64	74	2016	['Richie Smyth']
Cedar Rapids	86	59	2011	['Miguel Arteta']
Hair	88	87	1979	['Milos Forman']
The Guilt Trip	37	39	2012	['Anne Fletcher']
So I Married an Axe Murderer	51	68	1993	['Thomas Schlamme']
Father of the Bride Part II	50	60	1995	['Charles Shyer']
The Cold Light of Day	4	29	2012	['Mabrouk El Mechri']
Friday the 13th: A New Beginning	18	26	1985	['Danny Steinmann']
Hollywood Homicide	30	27	2003	['Ron Shelton']
Boy A	88	87	2007	['John Crowley']
Killing Season	10	29	2013	['Mark Steven Johnson']
The 33	48	59	2015	['Patricia Riggen']
Murder by Death	65	82	1976	['Robert Moore']
The Perfect Date	67	37	2019	['Chris Nelson']
Curse of Chucky	76	56	2013	['Don Mancini']
Meet the Blacks	17	72	2016	['Deon Taylor']
Boy Erased	80	74	2018	['Joel Edgerton']
The Last Days on Mars	18	24	2013	['Ruairi Robinson']
Stranger Than Paradise	96	88	1984	['Jim Jarmusch']
Defendor	74	58	2009	['Peter Stebbings']
Bully	55	69	2001	['Larry Clark']
Kind Hearts and Coronets	100	94	1949	['Robert Hamer']
Nine Months	26	37	1995	['Chris Columbus']
Raising Helen	25	61	2004	['Garry Marshall']
Picnic at Hanging Rock	90	83	1975	['Peter Weir']
Orgazmo	47	66	1997	['Trey Parker']
Girls Trip	92	78	2017	['Malcolm D. Lee']
Bringing Down the House	34	49	2003	['Adam Shankman']
Big Fat Liar	44	44	2002	['Shawn Levy']
Peggy Sue Got Married	86	55	1986	['Francis Ford Coppola']
Me and You and Everyone We Know	82	84	2005	['Miranda July']
Mickey Blue Eyes	45	42	1999	['Kelly Makin', 'Carl Gottlieb']
Gully Boy	96	81	2019	['Zoya Akhtar']
Rubber	68	46	2010	['Quentin Dupieux']
May	69	75	2002	['Lucky McKee']
Bedknobs and Broomsticks	67	74	1971	['Robert Stevenson', 'Ward Kimball']
Everything, Everything	45	61	2017	['Stella Meghie']
Nowhere Boy	80	74	2009	['Sam Taylor-Johnson']
Exorcist: The Beginning	10	27	2004	['Renny Harlin']
Looney Tunes: Back in Action	56	50	2003	['Joe Dante', 'Eric Goldberg']
Repo Man	98	78	1984	['Alex Cox']
The Wrong Missy	33	50	2020	['Tyler Spindel']
Joe Versus the Volcano	64	54	1990	['John Patrick Shanley']
Paul Blart: Mall Cop 2	5	33	2015	['Andy Fickman']
Ludo	None	78	2020	['Anurag Basu']
The Devil Inside	5	22	2012	['William Brent Bell']
24 Hour Party People	86	87	2002	['Michael Winterbottom']
Throw Momma from the Train	63	54	1987	['Danny DeVito']
Everyone Says I Love You	79	68	1996	['Woody Allen']
Deep Rising	30	43	1998	['Stephen Sommers']
Drop Dead Gorgeous	46	75	1999	['Michael Patrick Jann']
Mr. Woodcock	14	32	2007	['Craig Gillespie']
The Vast of Night	92	66	2019	['Andrew Patterson']
Killer Klowns from Outer Space	76	59	1988	['Stephen Chiodo']
Manos: The Hands of Fate	0	20	1966	['Harold P. Warren']
Police Academy 5: Assignment: Miami Beach	0	33	1988	['Alan Myerson']
Watership Down	82	86	1978	['Martin Rosen', 'John Hubley']
Prom Night	7	38	2008	['Nelson McCormick']
Spice World	34	45	1997	['Bob Spiers']
13 Sins	65	45	2014	['Daniel Stamm']
Doc Hollywood	67	50	1991	['Michael Caton-Jones']
La grande illusion	97	92	1937	['Jean Renoir']
Astro Boy	50	50	2009	['David Bowers']
Can't Buy Me Love	50	74	1987	['Steve Rash']
Hold the Dark	71	31	2018	['Jeremy Saulnier']
Vizontele	None	88	2001	['Yilmaz Erdogan', 'Ömer Faruk Sorak']
Slap Shot	85	89	1977	['George Roy Hill']
Birth	38	43	2004	['Jonathan Glazer']
Five Easy Pieces	88	84	1970	['Bob Rafelson']
Drugstore Cowboy	100	85	1989	['Gus Van Sant']
Single White Female	53	44	1992	['Barbet Schroeder']
King of New York	71	77	1990	['Abel Ferrara']
Phantasm	74	67	1979	['Don Coscarelli']
Bandidas	56	43	2006	['Joachim Rønning', 'Espen Sandberg']
Il postino	94	94	1994	['Michael Radford', 'Massimo Troisi']
English Vinglish	80	83	2012	['Gauri Shinde']
Evita	63	68	1996	['Alan Parker']
Hard Rain	30	34	1998	['Mikael Salomon']
BloodRayne	4	17	2005	['Uwe Boll']
