title	themes	movie_moods	keywords	date	directors
Monster	['Abandon All Hope']	['Serial Killers', 'Prostitutes']	['serial-killer', 'woman', 'prostitute/prostitution', 'child-abuse']	2003	['Patty Jenkins']
The Time Traveler's Wife	['A Good Cry']	['Time Travel', 'Star-Crossed Lovers']	['genetics', 'husband-and-wife', 'pregnancy', 'time-travel']	2009	['Robert Schwentke']
Double Indemnity	['Nail-biters', 'Spellbinders']	['Cons and Scams', 'Femmes Fatales', 'Perfect Crime', 'Treacherous Spouses', 'Infidelity']	['insurance-scam', 'insurance-agent', 'extramarital-affair', 'insurance-investigator', 'murder', 'spouse', 'accomplice[criminal]']	1944	['Billy Wilder']
Sing	['Just for Fun']	"['Contests, Pageants and Competitions', ""Musician's Life"", 'Stop the Wrecking Ball', 'Talented Animals']"	['animal', 'contest', 'koala', 'bear', 'singing', 'theater']	2016	['Garth Jennings', 'Christophe Lourdelet']
Dogville	['Abandon All Hope']	['Small-Town Life', 'Woman In Jeopardy', 'Redemption']	['doctor', 'mining-town', 'mob-boss', 'revenge', 'small-town', 'xenophobia', 'gangster']	2003	['Lars von Trier']
The Post	['Food for Thought']	['Conspiracies', 'Fighting the System', 'Office Politics', 'Scandals and Cover-Ups']	['journalist', 'newspaper', 'Pentagon', 'political-conspiracy', 'US-government', 'Vietnam']	2017	['Steven Spielberg']
Trading Places	['Just for Fun']	['Rags To Riches', 'Class Differences', 'Cons and Scams', 'Fish Out of Water', 'Down on Their Luck', 'Riches To Rags']	['con/scam', 'broker', 'business', 'homelessness', 'rags-to-riches', 'revenge', 'role-switching', 'street-gang', 'prostitute/prostitution']	1983	['John Landis']
I Now Pronounce You Chuck & Larry	['Just for Fun']	['Schemes and Ruses', 'Assumed Identities', 'Faltering Friendships']	['firefighter', 'deception', 'friendship', 'homosexual', 'life-insurance', 'widow/widower']	2007	['Dennis Dugan']
The Way Way Back	['Only Human']	['Dysfunctional Families', 'Mothers and Sons']	['coming-of-age', 'family-dynamics', 'self-confidence', 'self-discovery', 'Summer']	2013	['Nat Faxon', 'Jim Rash']
The Addams Family	['Comedy on the Edge']	['Eccentric Families', 'Mischievous Children', 'Fish Out of Water', 'Opposites Attract']	['family', 'escapades', 'impostor', 'uncle', 'con/scam', 'inheritance', 'macabre']	1991	['Barry Sonnenfeld']
Cold Mountain	['In the Mood for Love']	['Star-Crossed Lovers', 'Women During Wartime', 'Brief Encounters']	"['Civil-War[US]', 'injury', 'soldier', 'desertion', 'star-crossed-lovers', 'war', ""farmer's-daughter""]"	2003	['Anthony Minghella']
The Lake House	['Fantastic Reality', 'In the Mood for Love']	['Star-Crossed Lovers', 'Supernatural Romance']	['house', 'love', 'time-warp', 'doctor']	2006	['Alejandro Agresti']
La vie d'Adèle	['Carnal Knowledge', 'In the Mood for Love']	['Forbidden Love']	['girl', 'individuality', 'sexuality']	2013	['Abdellatif Kechiche']
I Know What You Did Last Summer	['Nail-biters']	['Serial Killers', 'Mind Games']	['maniac', 'hit-and-run', 'guilt', 'beauty-pageant', 'boyfriend', 'fisherman', 'stalking']	1997	['Jim Gillespie']
Devil	['Spellbinders']	['Trapped or Confined', 'Demonic Possession', 'Mysterious Strangers', 'Haunted By the Past']	['death-in-family', 'devil', 'elevator', 'high-rise', 'hit-and-run', 'skyscraper', 'trapped']	2010	['John Erick Dowdle']
Last Action Hero	['Adrenaline Rush', 'Fantastic Reality']	['Fathers and Daughters']	['behind-the-scenes', 'childhood-adventures', 'criminal', 'film', 'magic', 'movie-within-a-movie', 'police']	1993	['John McTiernan']
A Simple Favor	['Head Trips']	"['Keeping a Secret', 'Missing Persons', ""Women's Friendship""]"	['disappearance', 'friendship', 'murder', 'mystery[whodunit]', 'secret-life']	2018	['Paul Feig']
It's Kind of a Funny Story	['Pick-Me-Ups']	['Journey of Self-Discovery', 'Mental Illness', 'Suicide', 'Teen Angst', 'Unlikely Friendships', 'Unrequited Love']	['mental-patient', 'mentor', 'psychiatrist', 'suicide', 'teenagers', 'ward[hospital]']	2010	['Anna Boden', 'Ryan Fleck']
Kung Fu Panda 3	['Adrenaline Rush', 'Just for Fun', 'Young and Old Alike']	['Unlikely Heroes', 'Chosen One', 'Fantasy Lands', 'Heroic Mission', 'Journey of Self-Discovery']	['guardian', 'laziness', 'valley', 'leopard', 'monkey', 'Kung-Fu', 'pandas']	2016	['Alessandro Carloni', 'Jennifer Yuh Nelson']
Mr. Deeds	['Just for Fun']	['Arrested Adolescence', 'Class Differences', 'Fish Out of Water', 'Opposites Attract', 'Rags To Riches']	['fish-out-of-water', 'inheritance', 'simpleton', 'rags-to-riches', 'reporter', 'scoop[journalism]', 'pizzeria']	2002	['Steven Brill']
Four Brothers	['Tough Guys']	['Out For Revenge', 'Sibling Relationships', 'Death of a Parent', 'Non-Traditional Families']	['adoption', 'foster-home', 'hired-gun[hit', 'man]', 'mother', 'orphan', 'Thanksgiving', 'thug']	2005	['John Singleton']
Never Let Me Go	['A Good Cry', 'Food for Thought']	['Boarding School Life', 'Dying Young', 'Future Dystopias', 'Star-Crossed Lovers']	['acceptance', 'boarding-school', 'clone', 'lover', 'operation', 'organ-donor', 'surgery']	2010	['Mark Romanek']
A Time to Kill	['Food for Thought']	['Race Relations', 'Social Injustice']	['injustice', 'killing', 'bigotry', 'courtroom', 'murder', 'punishment', 'racism', 'rape', 'revenge', 'trial[courtroom]']	1996	['Joel Schumacher']
The Rocky Horror Picture Show	['Trashy', 'Comedy on the Edge']	['Fish Out of Water', 'Gender-Bending', 'Mad Scientists']	['alien[not', 'human]', 'transvestite', 'mansion', 'stranded', 'seduction', 'sex', 'dance[art]', 'experiment', 'over-indulgence', 'pleasure', 'promiscuity', 'science-project', 'scientist']	1975	['Jim Sharman']
Logan Lucky	['Just for Fun']	['Car Racing', 'Escape From Prison']	['ex-convict', 'explosives-expert', 'NASCAR', 'prison-escape', 'robbery']	2017	['Steven Soderbergh']
Fun with Dick and Jane	['Just for Fun']	['Down on Their Luck', 'Unlikely Criminals', 'Office Politics', 'Fired or Laid-Off', 'Work Ethics']	['crime-spree', 'middle-class', 'suburbs', 'housekeeper', 'lifestyle']	2005	['Dean Parisot']
The Wedding Singer	['In the Mood for Love', 'Just for Fun']	['Breakups and Divorces', 'Looking For Love', 'Otherwise Engaged', 'Wedding Bells']	['jilted', 'singer', 'love-quadrangle', 'engagement', 'wedding', 'band[music', 'group]', 'New-Wave', 'second-chance']	1998	['Frank Coraci']
The Grudge	['Spellbinders']	['Ghosts']	['curse', 'haunted-house', 'American[nationality]', 'social-worker', 'Japan', 'nurse', 'ghost', 'supernatural-forces']	2004	['Takashi Shimizu']
Lars and the Real Girl	['Off the Beaten Path']	['Misfits and Outsiders', 'Romantic Misunderstandings', 'Small-Town Life', 'Forbidden Love']	['delusion', 'doll']	2007	['Craig Gillespie']
Sleeping Beauty	['Fantastic Reality', 'In the Mood for Love']	['Curses and Spells', 'Heroic Mission']	['aristocracy', 'birthday', 'celebration', 'conflict', 'curse', 'damsel-in-distress', 'daughter', 'dragon', 'escape', 'fairy', 'kidnapping', 'kiss', 'love', 'marriage', 'prince', 'princess', 'protection', 'refugee', 'rescue', 'romance', 'secrets', 'sleep', 'spell[magic]']	1959	['Directors', 'Clyde Geronimi', 'Eric Larson', 'Les Clark']
Army of the Dead	['Fantastic Reality']	['One Last Heist', 'Zombies']	['casino', 'heist', 'mercenary', 'zombie']	2021	['Zack Snyder']
S.W.A.T.	['Adrenaline Rush']	['Drug Trade', 'Prison Life', 'Rogue Cops', 'Task Forces']	['SWAT-team', 'criminal', 'drug-lord', 'proposition', 'Special-Forces', 'transportation', 'escape']	2003	['Clark Johnson']
Scary Movie 3	['Gutbusters']	['Evil Aliens']	['alien[not', 'human]', 'crop-circles', 'President', 'television-star', 'invasion', 'attack']	2003	['David Zucker']
Conan the Barbarian	['Adrenaline Rush', 'Fantastic Reality']	['Heroic Mission', 'Righting the Wronged', 'Cults', 'Haunted By the Past']	['barbarian', 'brutality', 'companion', 'cult', 'killing', 'leader', 'massacre', 'murder', 'parent', 'revenge', 'slavery', 'sword-and-sorcery', 'village', 'warrior']	1982	['John Milius']
Starsky & Hutch	['Just for Fun']	['Drug Trade', 'Going Undercover', 'Rogue Cops']	['cheerleading', 'cocaine', 'criminal', 'detective', 'drug-bust', 'drug-lord', 'drug-ring', 'informer', 'undercover']	2004	['Todd Phillips']
Kindergarten Cop	['Just for Fun']	['Fish Out of Water', 'Going Undercover']	['kindergarten', 'teacher', 'detective', 'partner', 'police', 'school', 'undercover', 'child', 'friendship', 'danger', 'drug-dealer', 'investigator', 'romance', 'trust']	1990	['Ivan Reitman']
Transformers: The Last Knight	['Adrenaline Rush']	['Benign Aliens', 'Heroic Mission', 'Race Against Time', 'Robots and Androids']	['car-chase', 'disaster', 'medieval', 'mythological-legends', 'robot', 'secret-society']	2017	['Michael Bay']
We Need to Talk About Kevin	['Angsty']	['Mothers and Sons', 'Mental Illness', 'Haunted By the Past']	['mother', 'school-shooting', 'son']	2011	['Lynne Ramsay']
Evan Almighty	['Pick-Me-Ups']	['Message From God', 'Miraculous Events']	['ark', 'Congress', 'flood', 'God']	2007	['Tom Shadyac']
Locke	['Off the Beaten Path', 'Strictly Speaking']	['Crumbling Marriages', 'Expecting a Baby', 'Infidelity', 'Office Politics', 'Romantic Betrayal']	['driver', 'extramarital-affair', 'father']	2013	['Steven Knight']
Defiance	['Nail-biters', 'Triumph of the Spirit']	['Life Under Occupation', 'Crimes Against Humanity', 'Sibling Relationships', 'Out For Revenge']	['brother', 'Jewish', 'resistance-fighters', 'Holocaust', 'Poland', 'forest', 'Nazi']	2008	['Edward Zwick']
Thelma & Louise	['Only Human']	"[""Women's Friendship"", 'Journey of Self-Discovery', 'Tomboys', 'Out For Revenge']"	['women', 'friendship', 'on-the-run', 'rescue', 'vacation', 'killing', 'rape']	1991	['Ridley Scott']
Remember Me	['A Good Cry']	['Fathers and Daughters', 'Fathers and Sons', 'Haunted By the Past']	['family-tragedy', 'love', 'rebel', 'relationship', 'romance']	2010	['Allen Coulter']
Ray	['Triumph of the Spirit']	"[""Musician's Life"", 'Living With Disability', 'Drug Addiction']"	['musician', 'R&B-music', 'African-American', 'blindness[physical]', 'Civil-Rights', 'extramarital-affair', 'drug-addiction', 'heroin']	2004	['Taylor Hackford']
Bad Boys for Life	['Adrenaline Rush']	['Drug Trade', 'Midlife Crises', 'On the Run', 'Rogue Cops']	['cartel', 'mid-life-crisis', 'on-the-run', 'police-inspector', 'retaliation', 'retirement']	2020	['Adil El Arbi', 'Bilall Fallah']
Crimson Peak	['Spellbinders']	['Ghosts']	['author', 'English[nationality]', 'sister-in-law', 'mansion', 'paranormal', 'supernatural-forces']	2015	['Guillermo del Toro']
Crank: High Voltage	['Tough Guys']	['Hired Killers', 'Race Against Time']	['criminal', 'girlfriend', 'heart-transplant', 'hitman', 'race-against-time', 'horse-racing']	2009	['Mark Neveldine', 'Brian Taylor']
Die unendliche Geschichte	['Eyepoppers', 'Fantastic Reality', 'Other Dimensions']	['Fantasy Lands', 'Heroic Mission']	['fantasy-world', 'rescue', 'battle[war]', 'book', 'boy', 'bully', 'creature', 'disease', 'fairytale', 'fantasy', 'magic', 'mysticism', 'one-against-odds', 'reality', 'warrior']	1984	['Wolfgang Petersen']
Billy Madison	['Gutbusters']	['Arrested Adolescence', 'Fish Out of Water', 'Inheritance at Stake', 'Underdogs']	['school', 'inheritance', 'heir', 'millionaire', 'slacker', 'spoiled', 'teacher', 'family-business']	1995	['Tamra Davis']
Bad Santa	['Comedy on the Edge', 'Trashy', 'Unloveables']	['Cons and Scams', 'Unlikely Friendships', 'Redemption']	['alcoholism', 'Santa-Claus', 'burglary', 'con-artist', 'criminal', 'detective', 'mall']	2003	['Terry Zwigoff']
Resident Evil: Retribution	['Adrenaline Rush']	['Technology Run Amok', 'Trapped or Confined', 'Virtual Reality', 'Zombies']	['clone', 'infection', 'simulation', 'undead', 'virus']	2012	['Paul W.S. Anderson']
Pixels	['Fantastic Reality', 'Just for Fun']	['Technology Run Amok', 'Toys Come to Life', 'Virtual Reality']	['attack', 'computer-games', 'computer-graphics', 'invasion', 'video-games']	2015	['Chris Columbus']
Yesterday	['Gutbusters', 'Just for Fun']	"['Cons and Scams', 'Fantasy Life', ""Musician's Life""]"	['comedy', 'fantasy', 'music', 'musician', 'romance']	2019	['Danny Boyle']
Tower Heist	['Gutbusters', 'Just for Fun']	['Class Differences', 'Cons and Scams', 'Nothing Goes Right', 'Righting the Wronged', 'Servants and Employers', 'Unlikely Criminals']	['billionaire', 'heist', 'maid', 'manager', 'pension', 'penthouse', 'revenge', 'security-guard']	2011	['Brett Ratner']
Killing Them Softly	['Comedy on the Edge', 'Tough Guys']	['Hired Killers', 'Mafia Life']	['killing', 'Mafia', 'hitman', 'organized-crime', 'poker', 'robbery']	2012	['Andrew Dominik']
White Chicks	['Gutbusters']	['Fish Out of Water', 'Gender-Bending', 'Going Undercover', 'Schemes and Ruses']	['FBI', '(Federal', 'Bureau', 'of', 'Investigation)', 'Black[race]', 'crime-ring', 'federal-agent', 'disguise', 'girl', 'White', '(Caucasian)', 'high-society', 'undercover']	2004	['Keenen Ivory Wayans']
Bad Times at the El Royale	['Adrenaline Rush']	['Crime Sprees', 'Keeping a Secret']	['hotel', 'killer', 'murder', 'secrets', 'stranger']	2018	['Drew Goddard']
A Serious Man	['Comedy on the Edge', 'Off the Beaten Path']	['Breakups and Divorces', 'Dysfunctional Families', 'Existential Crisis', 'Teachers and Students']	['Bar-Mitzvah', 'Jewish', 'marital-problems', 'professor', 'Rabbi']	2009	['Ethan Coen', 'Joel Coen']
Foxcatcher	['Food for Thought']	['Coaches and Players', 'Innocence Lost', 'Mental Illness', 'Sibling Relationships', 'Underdogs', 'Wrestling']	['heir', 'mansion', 'Olympic-sports', 'schizophrenia', 'wrestling-Greco-Roman']	2014	['Bennett Miller']
The Founder	['Food for Thought', 'In a Minor Key', 'Memory Lane']	['Boss from Hell', 'Cooks and Chefs', 'Rags To Riches', 'Rise To Power']	['chain', 'fast-food', 'franchising', 'owner', 'restaurant']	2016	['John Lee Hancock']
Final Destination 3	['Blood and Gore']	['Psychic Abilities', 'Race Against Time']	['accident', 'camera', 'death', 'fair[carnival]', 'high-school', 'clairvoyance', 'vision[mystical]', 'amusement-park', 'rollercoasters']	2006	['James Wong']
The Princess Diaries	['Pick-Me-Ups']	['Cinderella Stories', 'Crowned Heads', 'Fish Out of Water']	['behavior[human]', 'grandmother', 'klutz', 'popularity', 'prep-school', 'teenagers']	2001	['Garry Marshall']
The Negotiator	['Nail-biters']	['Hostage Situations', 'Miscarriage of Justice', 'Political Corruption', 'Whistleblowers', 'Hotshots']	['police-negotiator', 'false-accusation', 'hostage', 'negotiation', 'partner', 'police-corruption', 'police', 'murder']	1998	['F. Gary Gray']
Snakes on a Plane	['Adrenaline Rush']	['When Animals Attack', 'Witness Protection', 'Daring Rescues', 'Terrorism', 'Trapped or Confined']	['snake', 'airplane', 'crime-lord', 'criminal', 'FBI', '(Federal', 'Bureau', 'of', 'Investigation)', 'officer', 'witness']	2006	['David R. Ellis']
My Best Friend's Wedding	['Estrogen Shot', 'Pick-Me-Ups']	['Wedding Bells', 'Schemes and Ruses', 'Unrequited Love']	['birthday', 'heir', 'jealousy', 'love-triangle', 'promise', 'quest', 'rage', 'revenge', 'rival', 'romance', 'wedding']	1997	['P.J. Hogan']
The Killing of a Sacred Deer	['Head Trips']	['Doctors and Patients', 'Evil Children', 'Facing Death', 'Families in Crisis']	['death', 'evil', 'family', 'father', 'heart-surgeon', 'revenge', 'son', 'wife']	2017	['Yorgos Lanthimos']
9	['Other Dimensions']	['Post-Apocalypse', 'Chosen One', 'Heroic Mission', 'Toys Come to Life']	['doll', 'post-nuclear-holocaust', 'robot', 'wasteland', 'intelligence[knowledge]', 'soul', 'soul-collector']	2009	['Shane Acker']
Bambi	['Young and Old Alike']	['Death of a Parent']	['deer', 'man', 'survivor', 'animal', 'coming-of-age', 'friendship', 'love', 'natural-selection']	1942	['Directors', 'James Algar', 'Samuel Armstrong', 'David Hand']
Manhattan	['Strictly Speaking']	['Age Disparity Romance', 'Faltering Friendships', 'Infidelity']	['ex-wife', 'extramarital-affair', 'lesbianism', 'television', 'urban', 'writer', 'novel']	1979	['Woody Allen']
Lost Highway	['Head Trips']	['Crumbling Marriages', 'Dangerous Attraction', 'Mistaken Identities']	['identity-switch', 'gangster', 'house', 'murder', 'video-tape', 'false-accusation', 'imprisonment', 'seduction', 'stranger', 'wife']	1997	['David Lynch']
The Constant Gardener	['Food for Thought']	['Murder Investigations', 'Conspiracies', 'Death of a Partner', 'Obsessive Quests']	['corporate-espionage', 'drug-company', 'Africa', 'Kenya', 'medical-research', 'murder', 'activism', 'diplomat', 'government-official', 'political-conspiracy']	2005	['Fernando Meirelles']
Rope	['Strictly Speaking']	['Hide the Dead Body', 'Thrill Crime', 'Dangerous Friends', 'Teachers and Students']	['fun', 'love', 'amateur-detective', 'cat-and-mouse', 'college', 'corpse', 'dinner-party', 'friendship', 'guest', 'homosexual', 'killing', 'murder', 'philosophy', 'professor', 'student', 'victim']	1948	['Alfred Hitchcock']
Into the Woods	['Just for Fun', 'Pick-Me-Ups']	['Curses and Spells', 'Witches']	['bakery', 'fairytale', 'husband-and-wife', 'musical[play]', 'quest', 'witch', 'pregnancy']	2014	['Rob Marshall']
Brooklyn	['In the Mood for Love']	['Immigrant Life', 'Love Triangles']	['decision', 'immigrant', 'Ireland', 'Irish[nationality]', 'love-triangle']	2015	['John Crowley']
Seven Years in Tibet	['Triumph of the Spirit']	['Colonialism', 'Heroic Mission']	['Austrian[nationality]', 'Buddhism', 'Dalai', 'Lama', 'Himalayas', 'mountain-climbing', 'POW', '(Prisoner', 'of', 'War)', 'Tibet', 'China']	1997	['Jean-Jacques Annaud']
Coach Carter	['Triumph of the Spirit']	['Coaches and Players', 'Teachers and Students', 'Basketball Players', 'High School Life', 'Underdogs']	['coaching[sports]', 'teacher', 'basketball', 'high-school', 'student', 'classroom', 'education', 'grades']	2005	['Thomas Carter']
A Christmas Story	['Memory Lane', 'Pick-Me-Ups']	['Eccentric Families', 'Mischievous Children', 'Bullies']	['childhood-adventures', 'Christmas', 'family-dynamics', 'obsession', 'bully', 'gun', 'scheme', 'sibling', 'small-town']	1983	['Bob Clark']
Dude, Where's My Car?	['Just for Fun']	['Evil Aliens', 'Nothing Goes Right', 'Unlikely Heroes', 'Heroic Mission', 'Space Wars', 'Arrested Adolescence']	['alien[not', 'human]', 'car', 'gift', 'girlfriend', 'missing', 'party-animal', 'puzzle', 'search', 'slacker', 'stripper', 'suitcase', 'twins']	2000	['Danny Leiner']
Pinocchio	['Eyepoppers', 'Young and Old Alike']	['Toys Come to Life', 'Curses and Spells', 'Obsessive Quests']	['godmother', 'amusement-park', 'animal', 'fairy', 'family', 'fantasy', 'father', 'generation-gap', 'honesty', 'journey', 'magic', 'puppet[doll]', 'whale', 'wish-fulfillment']	1940	['Directors', 'Norman Ferguson', 'T. Hee', 'Wilfred Jackson']
Robots	['Pick-Me-Ups']	['Robots and Androids', 'Class Differences', 'Fighting the System', 'Underdogs']	['robot', 'misfit', 'business', 'corporate-ladder', 'ideals', 'outcast', 'evil']	2005	['Chris Wedge', 'Carlos Saldanha']
Kramer vs. Kramer	['A Good Cry', 'Only Human']	['Custody Battles', 'Fathers and Sons', 'Breakups and Divorces', 'Single Parents']	['mother', 'abandonment', 'advertising-executive', 'courtroom', 'custody', 'custody-battle', 'divorce', 'family', 'family-member', 'family-tragedy', 'love', 'single-parent', 'unemployment']	1979	['Robert Benton']
A Fish Called Wanda	['Just for Fun']	['Americans Abroad', 'Assumed Identities', 'Cons and Scams', 'Nothing Goes Right']	['con/scam', 'double-cross', 'dog', 'fish[animal]', 'getaway', 'lawyer', 'stutterer', 'criminal', 'opal', 'escape', 'jewel-robbery', 'robbery']	1988	['Charles Crichton', 'John Cleese']
We Bought a Zoo	['In a Minor Key']	['Starting Over', 'Widows and Widowers', 'Death in the Family', 'Fathers and Sons']	['family', 'grief', 'zoo']	2011	['Cameron Crowe']
Matilda	['Fantastic Reality', 'Young and Old Alike']	['Teachers and Students', 'Eccentric Families', 'Mischievous Children', 'Authority Figures [k]', 'Child Prodigies', 'Sibling Relationships']	['anger', 'dysfunctional', 'friendship', 'supernatural-forces', 'teacher', 'telekinesis']	1996	['Danny DeVito']
Winter's Bone	['In a Minor Key']	['Amateur Sleuths', 'Drug Trade', 'Families in Crisis', 'Fathers and Daughters', 'Missing Persons']	['mountain-family', 'father', 'girl', 'conspiracy', 'crystal-meth', 'disappearance', 'family', 'parent/child-relationship']	2010	['Debra Granik']
Palm Springs	['In the Mood for Love']	['Looking For Love', 'Nothing Goes Right', 'Trapped or Confined', 'Wedding Bells']	['bridesmaid', 'love', 'romance', 'time-warp', 'trapped', 'wedding']	2020	['Max Barbakow']
Majo no takkyûbin	['Fantastic Reality', 'Pick-Me-Ups']	['Journey of Self-Discovery', 'Starting Over', 'Witches']	['coming-of-age', 'witch', 'apprentice', 'artist', 'bakery', 'cat', 'crush', 'delivery-person', 'friendship', 'imagination', 'independence', 'seaside']	1989	['Hayao Miyazaki']
Harold & Kumar Escape from Guantanamo Bay	['Gutbusters']	['Flight of the Innocent', 'Miscarriage of Justice', 'Mistaken Identities', 'Terrorism']	['marijuana', 'airplane', 'escape', 'ex-girlfriend', 'terrorism', 'torture']	2008	['Jon Hurwitz', 'Hayden Schlossberg']
The Texas Chainsaw Massacre	['Blood and Gore']	['Cannibals', 'Nightmare Vacations']	['chainsaw', 'family', 'hitchhiker', 'lost', 'maniac', 'slaughter-house', 'teenagers', 'van']	2003	['Marcus Nispel']
Green Zone	['Nail-biters']	['Political Corruption', 'Political Unrest', 'Scandals and Cover-Ups', 'Life Under Occupation']	"['Iraq', 'American[nationality]', 'soldier', 'government', ""intelligence[gov't]"", 'cover-up', 'invasion', 'palace', 'weapons-of-mass-destruction']"	2010	['Paul Greengrass']
Scream 4	['Blood and Gore']	['Serial Killers', 'Woman In Jeopardy']	['camera', 'cell-phone', 'cousin', 'Internet', 'killing', 'murder', 'reporter', 'self-help', 'serial-killer', 'sheriff', 'small-town', 'mask[disguise]']	2011	['Wes Craven']
The Ballad of Buster Scruggs	['In a Minor Key']	['Supernatural Romance', 'Taming the West']	['Old-West', 'outlaw[Western]', 'romance', 'Wild-West']	2018	['Ethan Coen', 'Joel Coen']
A Bronx Tale	['Only Human']	['Dangerous Friends', 'Fathers and Sons', 'Kids in Trouble']	['son', 'bus-driver', 'father', 'gangster', 'generation-gap', 'mob-boss', 'racism', 'friendship', 'role-model']	1993	['Robert De Niro']
Horton Hears a Who!	['Young and Old Alike']	['Unlikely Friendships']	['elephant', 'mayor', 'protection', 'voice[speaking]']	2008	['Jimmy Hayward', 'Steve Martino']
Promising Young Woman	['Estrogen Shot']	['Double Life', 'Haunted By the Past']	['double-life', 'past', 'revenge', 'trauma', 'woman']	2020	['Emerald Fennell']
The Scorpion King	['Adrenaline Rush']	['Crowned Heads', 'Curses and Spells', 'Kidnapping', 'Rise To Power']	['ancient-civilizations', 'assassination', 'sorceress', 'sword-and-sorcery', 'swordsman', 'tyrant']	2002	['Chuck Russell']
Escape from New York	['Adrenaline Rush', 'Other Dimensions']	['Lone Wolves', 'Heroic Mission', 'Hostage Situations', 'Daring Rescues', 'Future Barbarians', 'Race Against Time']	['anti-hero', 'mercenary', 'mission[quest]', 'President', 'rescue', 'captive', 'prison', 'escape']	1981	['John Carpenter']
This Is Spinal Tap	['Comedy on the Edge']	"['All Washed Up', ""Musician's Life"", 'Nothing Goes Right']"	['rock-band', 'British', 'hard-rock', 'music', 'heavy-metal-music', 'on-the-road', 'concert-tours', 'battle-of-the-bands', 'comeback', 'record-company']	1984	['Rob Reiner']
Jack the Giant Slayer	['Eyepoppers', 'Fantastic Reality']	['Fantasy Lands', 'Heroic Mission', 'Kidnapping', 'Mythical Creatures']	['giant', 'hero', 'rescue', 'expedition', 'farming', 'princess']	2013	['Bryan Singer']
Mad Max Beyond Thunderdome	['Adrenaline Rush', 'Other Dimensions']	['Future Barbarians', 'Lone Wolves']	['against-all-odds', 'arena', 'chase', 'child', 'city', 'conflict', 'desert', 'dwarf', 'future', 'one-against-odds', 'possession', 'post-Holocaust', 'post-nuclear-holocaust', 'power', 'power-struggle', 'rescue', 'robbery', 'survivor', 'tracking[following]', 'tribe', 'violence']	1985	['George Miller', 'George Ogilvie']
Magic Mike	['Just for Fun']	"[""Dancer's Life"", 'Mentors', 'Sibling Relationships', 'Twentysomething Life']"	['career', 'money', 'club[place]', 'stripper']	2012	['Steven Soderbergh']
Freaky Friday	['Fantastic Reality', 'Young and Old Alike']	['Mothers and Daughters', 'Trading Bodies', 'Generation Gap', 'Managing Parental Relationships [k]', 'Wishes Come True', 'Wedding Bells']	['body-switching', 'daughter', 'mother', 'stepfather', 'therapist', 'widow/widower', 'high-school', 'teenagers']	2003	['Mark Waters']
Clerks II	['Comedy on the Edge', 'Strictly Speaking']	['Thirtysomething Life', 'Workplace Romance']	['friendship', 'girlfriend', 'ambition', 'fast-food']	2006	['Kevin Smith']
Blazing Saddles	['Gutbusters']	['Race Relations', 'Sheriffs and Outlaws']	['bigotry', 'con/scam', 'gunfighter', 'sheriff', 'lawman', 'Wild-West', 'politician', 'railroad', 'life-changes']	1974	['Mel Brooks']
Along Came Polly	['Just for Fun']	['Date from Hell', 'Infidelity', 'Opposites Attract', 'Romantic Betrayal']	['best-man[wedding]', 'extramarital-affair', 'free-spirit', 'insurance-agent', 'insurance-company', 'marriage', 'scuba-diving']	2004	['John Hamburg']
Big Trouble in Little China	['A World of Its Own', 'Fantastic Reality', 'Tough Guys']	['Daring Rescues', 'Wizards and Magicians', 'Race Against Time', 'Culture Clash', 'Woman In Jeopardy']	['evil', 'fiancee', 'kidnapping', 'love', 'mercenary', 'one-against-odds', 'rescue', 'romance', 'sacrifice', 'sorcerer', 'supernatural-forces', 'truckdriver']	1986	['John Carpenter']
Rocky V	['Triumph of the Spirit']	['Teachers and Students', 'Boxers', 'Dangerous Friends', 'All Washed Up', 'Down on Their Luck']	['brain-damage', 'coach', 'father', 'fight', 'promoter', 'retirement', 'son', 'Christianity', 'identity']	1990	['John G. Avildsen']
Joy	['Triumph of the Spirit']	['Big Break', 'Dysfunctional Families', 'Inventors', 'Rags To Riches']	['innovation', 'inventor']	2015	['David O. Russell']
Peter Pan	['Pick-Me-Ups']	['Fantasy Lands', 'Mischievous Children', 'Pirates']	['child', 'bad-guy', 'childhood', 'coming-of-age', 'fantasy', 'fantasy-world', 'friendship', 'good-guy', 'island', 'journey', 'kidnapping', 'mermaid', 'pirate[seafarer]', 'swashbuckler']	1953	['Directors', 'Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']
The Recruit	['Nail-biters']	['Mind Games', 'Traitorous Spies/Double Agents', 'Dangerous Attraction']	['CIA', '(Central-Intelligence-Agency)', 'mentor', 'recruit[verb-hire]', 'secret-mission', 'training', 'counter-espionage', 'double-agent', 'father', 'government-agent', 'informer', 'secret-identity']	2003	['Roger Donaldson']
The Princess and the Frog	['Young and Old Alike']	['Crowned Heads', 'Curses and Spells', 'Talking Animals']	['frog', 'prince', 'restaurant', 'voodoo']	2009	['Ron Clements', 'John Musker']
The Lost Boys	['Nail-biters']	['Dangerous Attraction', 'Heroic Mission', 'Kids in Trouble', 'Vampires']	['biker', 'family', 'gangster', 'killing', 'motorcycle', 'romance', 'small-town', 'teenagers', 'vampire']	1987	['Joel Schumacher']
